metabolite,refmet_id,super_class,main_class,chebi_id,chebi_all,pubchem_cid,inchi_key,kegg_id,platform_adipose,platform_blood,platform_muscle
PE 38:5,RM0134741,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
PE 38:6,RM0001619,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE 40:6,RM0134743,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-lrppos,metab-u-lrppos
PE O-16:1/20:4,RM0054520,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
PE O-18:1/18:1,RM0134800,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
PE O-18:1/20:4,RM0008857,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrpneg
PE O-18:1/22:5,RM0054662,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrpneg
PE O-18:2/20:4,RM0098404,Glycerophospholipids,Glycerophosphoethanolamines,CHEBI:141509,CHEBI:141509,"","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrpneg
PE O-34:2,RM0055038,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrpneg
PE O-36:4,RM0055031,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrpneg
PE O-37:5,RM0055045,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrppos,metab-u-lrppos
PE O-38:4,RM0017417,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-lrpneg,metab-u-lrpneg,metab-u-lrppos
PE P-34:0 or PE O-34:1,RM0008666,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-34:2 or PE O-34:3,RM0043209,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-35:2 or PE O-35:3,RM0055800,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-36:2 or PE O-36:3,RM0009566,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-36:4 or PE O-36:5,RM0043212,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-38:4 or PE O-38:5,RM0055835,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-38:5 or PE O-38:6,RM0090073,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-38:6 or PE O-38:7,RM0055690,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-40:4 or PE O-40:5,RM0014717,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
PE P-40:6 or PE O-40:7,RM0014963,Glycerophospholipids,Glycerophosphoethanolamines,"","","","",,metab-u-hilicpos,metab-u-hilicpos,metab-u-hilicpos
Pentadecylic acid,RM0153573,Fatty Acyls,Fatty acids,CHEBI:42504,CHEBI:42504,13849,WQEPLUUGTLDZJY-UHFFFAOYSA-N,C16537,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
PGE2 ethanolamide,RM0160653,Fatty Acyls,Eicosanoids,CHEBI:165333,CHEBI:165333,35021785,GKKWUSPPIQURFM-XXHBNTRVSA-N,,metab-t-oxylipneg,metab-t-oxylipneg,metab-t-oxylipneg
Phenylalanine,RM0135897,Organic acids,Amino acids and peptides,CHEBI:17295,CHEBI:17295;CHEBI:58095,6140,COLNVLDHVKWLRT-QMMMGPOBSA-N,C00079,metab-u-hilicpos,metab-u-hilicpos,metab-u-rpneg
Phenyllactic acid,RM0012471,Organic acids,Phenylpropanoids,CHEBI:43065,CHEBI:43065,444718,VOXXWSYKYCBWHO-QMMMGPOBSA-N,,metab-u-rpneg,metab-u-rpneg,metab-u-rpneg
Phosphocreatine,RM0009827,Organic acids,Amino acids and peptides,CHEBI:17287,CHEBI:17287,9548602,DRBBFCLWYRJSJZ-UHFFFAOYSA-N,C02305,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
Phosphoethanolamine,RM0060581,Organic acids,Phosphate esters,CHEBI:17553,CHEBI:17553,1015,SUHOOTKUPISOBE-UHFFFAOYSA-N,C00346,metab-t-amines,metab-t-amines,metab-t-amines
Phosphoglyceric acid,RM0013474,Organic acids,Short-chain acids,"","","","",,metab-u-ionpneg,metab-u-ionpneg,metab-u-ionpneg
