gene_symbol,entrez_gene,uniprot,ensembl_gene,in_string,network_degree
MATN2,4147,O00339,ENSG00000132561,FALSE,0
MAVS,57506,Q7Z434,ENSG00000088888,TRUE,5
MAX,4149,P61244,ENSG00000125952,TRUE,1
MCAM,4162,P43121,ENSG00000076706,TRUE,5
MCFD2,90411,Q8NI22,ENSG00000180398,TRUE,0
MED18,54797,Q9BUE0,ENSG00000130772,TRUE,0
MESD,23184,Q14696,ENSG00000117899,TRUE,0
METAP1D,254042,Q6UB28,ENSG00000172878,TRUE,0
METAP2,10988,P50579,ENSG00000111142,TRUE,0
MFGE8,4240,Q08431,ENSG00000140545,TRUE,2
MGLL,11343,Q99685,ENSG00000074416,TRUE,4
MGMT,4255,P16455,ENSG00000170430,TRUE,0
MIF,4282,P14174,ENSG00000240972,TRUE,1
MME,4311,P08473,ENSG00000196549,TRUE,4
MMP9,4318,P14780,ENSG00000100985,TRUE,5
MNDA,4332,P41218,ENSG00000163563,TRUE,1
MPI,4351,P34949,ENSG00000178802,TRUE,2
MRPL46,26589,Q9H2W6,ENSG00000259494,TRUE,0
MSRA,4482,Q9UJ68,ENSG00000175806,TRUE,0
MVK,4598,Q03426,ENSG00000110921,TRUE,1
NAMPT,10135,P43490,ENSG00000105835,TRUE,5
NBN,4683,O60934,ENSG00000104320,TRUE,0
NCAM1,4684,P13591,ENSG00000149294,TRUE,5
NCF2,4688,P19878,ENSG00000116701,TRUE,2
NCK2,8440,O43639,ENSG00000071051,TRUE,0
NDRG1,10397,Q92597,ENSG00000104419,TRUE,0
NDUFS6,4726,O75380,ENSG00000145494,TRUE,2
NFATC1,4772,O95644,ENSG00000131196,TRUE,3
NFATC3,4775,Q12968,ENSG00000072736,TRUE,1
NID1,4811,P14543,ENSG00000116962,TRUE,4
NID2,22795,Q14112,ENSG00000087303,TRUE,2
NME3,4832,Q13232,ENSG00000103024,TRUE,3
NMNAT1,64802,Q9HAN9,ENSG00000173614,TRUE,5
NOMO1,23420,Q15155,ENSG00000103512,TRUE,0
NPM1,4869,P06748,ENSG00000181163,TRUE,4
NPTN,27020,Q9Y639,ENSG00000156642,TRUE,0
NRP1,8829,O14786,ENSG00000099250,TRUE,1
NSFL1C,55968,Q9UNZ2,ENSG00000088833,TRUE,0
NT5C3A,51251,Q9H0P0,ENSG00000122643,TRUE,6
NT5E,4907,P21589,ENSG00000135318,TRUE,16
NUB1,51667,Q9Y5A7,ENSG00000013374,TRUE,0
NUCB2,4925,P80303,ENSG00000070081,TRUE,0
NUDC,10726,Q9Y266,ENSG00000090273,TRUE,1
NUDT2,318,P50583,ENSG00000164978,TRUE,2
NUDT5,11164,Q9UKK9,ENSG00000165609,TRUE,0
OGFR,11054,Q9NZT2,ENSG00000060491,TRUE,0
P4HB,5034,P07237,ENSG00000185624,TRUE,2
PADI2,11240,Q9Y2J8,ENSG00000117115,FALSE,0
PARK7,11315,Q99497,ENSG00000116288,TRUE,1
PARP1,142,P09874,ENSG00000143799,TRUE,3
PCDH1,5097,Q08174,ENSG00000156453,FALSE,0
PCOLCE,5118,Q15113,ENSG00000106333,TRUE,0
PDCD5,9141,O14737,ENSG00000105185,TRUE,0
PDCD6,10016,O75340,ENSG00000249915,TRUE,0
PDLIM7,9260,Q9NR12,ENSG00000196923,TRUE,0
PDP1,54704,Q9P0J1,ENSG00000164951,TRUE,0
PEBP1,5037,P30086,ENSG00000089220,TRUE,0
PECAM1,5175,P16284,ENSG00000261371,TRUE,12
PFDN2,5202,Q9UHV9,ENSG00000143256,TRUE,2
PFKFB2,5208,O60825,ENSG00000123836,TRUE,2
PLA2G15,23659,Q8NCC3,ENSG00000103066,TRUE,0
PLAT,5327,P00750,ENSG00000104368,TRUE,1
PLIN1,5346,O60240,ENSG00000166819,TRUE,0
PLIN3,10226,O60664,ENSG00000105355,TRUE,1
PLPBP,11212,O94903,ENSG00000147471,TRUE,0
PLTP,5360,P55058,ENSG00000100979,TRUE,3
PMVK,10654,Q15126,ENSG00000163344,TRUE,1
PNPT1,87178,Q8TCS8,ENSG00000138035,TRUE,0
PODXL,5420,O00592,ENSG00000128567,TRUE,1
PON2,5445,Q15165,ENSG00000105854,FALSE,0
PPCDC,60490,Q96CD2,ENSG00000138621,TRUE,0
PPIB,5479,P23284,ENSG00000166794,TRUE,4
PPM1A,5494,P35813,ENSG00000100614,TRUE,1
PPME1,51400,Q9Y570,ENSG00000214517,TRUE,0
